date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:56	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Oct%202021%2002:13:39%20GMT	http://www.hutech.edu.vn/homepage/images/new.gif	C:/My%20Web%20Sites/daotaoohutech/www.hutech.edu.vn/homepage/images/new.3d.delayed	(from http://daotao.hutech.edu.vn/)
09:08:01	218/218	---M--	302	error ('Found')	text/html	date:Sun,%2024%20Oct%202021%2002:13:39%20GMT	https://www.hutech.edu.vn/homepage/images/new.gif	C:/My%20Web%20Sites/daotaoohutech/www.hutech.edu.vn/homepage/images/new.3e.delayed	(from http://daotao.hutech.edu.vn/)
09:08:21	195883/195883	---M--	200	added ('OK')	application/pdf	etag:%22076c5f86e89cc1:0%22	http://daotao.hutech.edu.vn/Upload/file/tbvvhoclai_1083_new.pdf	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/tbvvhoclai_1083_new.pdf	(from http://daotao.hutech.edu.vn/)
09:08:29	48897/48897	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2214e849884480d71:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CNSH-TP-MT.xlsx	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20CNSH-TP-MT.xlsx	(from http://daotao.hutech.edu.vn/)
09:10:01	803840/803840	---M--	200	added ('OK')	application/msword	etag:%22801eaf29e4bdd01:0%22	http://daotao.hutech.edu.vn/Upload/file/HDDKMH.doc	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/HDDKMH.doc	(from http://daotao.hutech.edu.vn/)
09:10:16	90112/90112	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%2204b59688bdad61:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KTMT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KTMT.xls	(from http://daotao.hutech.edu.vn/)
09:10:32	96768/96768	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22702c4c5f13d9d31:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KT-TC-NH.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20KT-TC-NH.xls	(from http://daotao.hutech.edu.vn/)
09:10:52	121344/121344	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%22dcd744e9c86bd61:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20LLCT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20LLCT.xls	(from http://daotao.hutech.edu.vn/)
09:15:04	1550336/1550336	---M--	200	added ('OK')	application/vnd.ms-excel	etag:%2208c2dabddfd41:0%22	http://daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20LUAT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/MH%20tuong%20duong/MHTD%20LUAT.xls	(from http://daotao.hutech.edu.vn/)
09:15:04	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2016:20:30%20GMT	http://daotao.hutech.edu.vn/Upload/file/Danh%20muc%20HP%20tuong%20duong%20-%20LLCT.xls	C:/My%20Web%20Sites/daotaoohutech/daotao.hutech.edu.vn/Upload/file/Danh%20muc%20HP%20tuong%20duong%20-%20LLCT.46.delayed	(from http://daotao.hutech.edu.vn/)
